"","date","pce_serv","pce_nondur","pce_price_index","pop","nom_dpi","nom_pce_serv_nondur","real_serv_nondur","real_dpi","real_serv_nondur_pc_lag0","real_serv_nondur_pc_lag1","real_serv_nondur_pc_lag2","real_serv_nondur_pc_lag3","real_serv_nondur_pc_lag4","real_dpi_pc_lag0","real_dpi_pc_lag1","real_dpi_pc_lag2","real_dpi_pc_lag3","real_dpi_pc_lag4"
"91",1982-07-01,1183.846,649.719,45.103,172521.666666667,2460.33333333333,1833.565,4065.28390572689,5454.92169774368,23563.9035042568,23440.8286142775,23437.4638609548,23400.1784889974,23407.8695733707,31618.7630408375,31550.0116702836,31452.0838024642,31472.2161096561,31557.1573182737
"92",1982-10-01,1224.459,656.74,45.601,173046,2496.53333333333,1881.199,4125.34593539615,5474.73374121913,23839.59141151,23563.9035042568,23440.8286142775,23437.4638609548,23400.1784889974,31637.4475065539,31618.7630408375,31550.0116702836,31452.0838024642,31472.2161096561
"93",1983-01-01,1258.678,657.003,45.978,173505,2542.26666666667,1915.681,4166.51659489321,5529.31111981092,24013.812828986,23839.59141151,23563.9035042568,23440.8286142775,23437.4638609548,31868.3099611592,31637.4475065539,31618.7630408375,31550.0116702836,31452.0838024642
"94",1983-04-01,1286.806,673.049,46.398,173957.333333333,2583.83333333333,1959.855,4224.00750032329,5568.84635832004,24281.8593466786,24013.812828986,23839.59141151,23563.9035042568,23440.8286142775,32012.7139891777,31868.3099611592,31637.4475065539,31618.7630408375,31550.0116702836
"95",1983-07-01,1329.097,688.437,47.008,174449.333333333,2656.76666666667,2017.534,4291.89499659632,5651.73303834808,24602.530228049,24281.8593466786,24013.812828986,23839.59141151,23563.9035042568,32397.5616894385,32012.7139891777,31868.3099611592,31637.4475065539,31618.7630408375
"96",1983-10-01,1356.704,696.522,47.318,174950.333333333,2732.46666666667,2053.226,4339.20706707807,5774.68757484819,24802.5081427571,24602.530228049,24281.8593466786,24013.812828986,23839.59141151,33007.5825797123,32397.5616894385,32012.7139891777,31868.3099611592,31637.4475065539
"97",1984-01-01,1380.27,706.457,47.83,175678.666666667,2815.03333333333,2086.727,4362.79949822287,5885.49724719493,24833.974329398,24802.5081427571,24602.530228049,24281.8593466786,24013.812828986,33501.4908689061,33007.5825797123,32397.5616894385,32012.7139891777,31868.3099611592
"98",1984-04-01,1412.233,722.374,48.293,176125.333333333,2888.2,2134.607,4420.116787112,5980.5768952022,25096.4282278832,24833.974329398,24802.5081427571,24602.530228049,24281.8593466786,33956.3694899212,33501.4908689061,33007.5825797123,32397.5616894385,32012.7139891777
"99",1984-07-01,1446.882,724.567,48.666,176595.333333333,2948.53333333333,2171.449,4461.94262935109,6058.71313305662,25266.4809716626,25096.4282278832,24833.974329398,24802.5081427571,24602.530228049,34308.4554880081,33956.3694899212,33501.4908689061,33007.5825797123,32397.5616894385
"100",1984-10-01,1475.175,732.781,48.966,177132.333333333,2991.23333333333,2207.956,4509.16145897153,6108.79657993982,25456.4560524704,25266.4809716626,25096.4282278832,24833.974329398,24802.5081427571,34487.1908193299,34308.4554880081,33956.3694899212,33501.4908689061,33007.5825797123
"101",1985-01-01,1525.616,742.385,49.544,177522.333333333,3019.23333333333,2268.001,4577.75108994026,6094.04435114915,25786.9024363522,25456.4560524704,25266.4809716626,25096.4282278832,24833.974329398,34328.3249871799,34487.1908193299,34308.4554880081,33956.3694899212,33501.4908689061
"102",1985-04-01,1555.754,752.76,49.945,177946.333333333,3104.43333333333,2308.514,4622.11232355591,6215.70394100177,25974.7545058861,25786.9024363522,25456.4560524704,25266.4809716626,25096.4282278832,34930.216456657,34328.3249871799,34487.1908193299,34308.4554880081,33956.3694899212
"103",1985-07-01,1597.213,760.485,50.337,178413.333333333,3120.13333333333,2357.698,4683.8270059797,6198.4888518055,26252.673600514,25974.7545058861,25786.9024363522,25456.4560524704,25266.4809716626,34742.2960829095,34930.216456657,34328.3249871799,34487.1908193299,34308.4554880081
"104",1985-10-01,1622.303,773.345,50.688,178940.666666667,3176.5,2395.648,4726.26262626263,6266.76925505051,26412.4567897513,26252.673600514,25974.7545058861,25786.9024363522,25456.4560524704,35021.4927204018,34742.2960829095,34930.216456657,34328.3249871799,34487.1908193299
